Algorithm,Size,Type,Time (nanoseconds),,,,,,,,,
PassPerItem,100,Integer,50363,,,,,,,,,
PassPerItem,100,Integer,50003,,,,,,,,,
PassPerItem,100,Integer,50311,,,,,,,,,
PassPerItem,100,Integer,50254,,,,,,,,,
PassPerItem,100,Integer,50317,,,,,,,,,
UntilNoChange,100,Integer,83444,,,,,,,,,
UntilNoChange,100,Integer,57141,,,,,,,,,
UntilNoChange,100,Integer,57153,,,,,,,,,
UntilNoChange,100,Integer,56791,,,,,,,,,
UntilNoChange,100,Integer,56776,,,,,,,,,
UntilNoChange,100,Integer,57443,,,,,,,,,
UntilNoChange,100,Integer,57001,,,,,,,,,
UntilNoChange,100,Integer,56947,,,,,,,,,
UntilNoChange,100,Integer,57021,,,,,,,,,
UntilNoChange,100,Integer,57293,,,,,,,,,
UntilNoChange,100,Integer,57259,,,,,,,,,
UntilNoChange,100,Integer,57706,,,,,,,,,
UntilNoChange,100,Integer,83968,,,,,,,,,
UntilNoChange,100,Integer,56996,,,,,,,,,
UntilNoChange,100,Integer,57100,,,,,,,,,
UntilNoChange,100,Integer,57267,,,,,,,,,
UntilNoChange,100,Integer,56919,,,,,,,,,
UntilNoChange,100,Integer,56834,,,,,,,,,
UntilNoChange,100,Integer,56936,,,,,,,,,
UntilNoChange,100,Integer,57010,,,,,,,,,
UntilNoChange,100,Integer,57070,,,,,,,,,
UntilNoChange,100,Integer,57261,,,,,,,,,
UntilNoChange,100,Integer,57490,,,,,,,,,
UntilNoChange,100,Integer,57136,,,,,,,,,
UntilNoChange,100,Integer,62930,,,,,,,,,
UntilNoChange,100,Integer,57330,,,,,,,,,
UntilNoChange,100,Integer,56892,,,,,,,,,
UntilNoChange,100,Integer,56939,,,,,,,,,
UntilNoChange,100,Integer,57012,,,,,,,,,
UntilNoChange,100,Integer,56916,,,,,,,,,
UntilNoChange,100,Integer,56770,,,,,,,,,
UntilNoChange,100,Integer,56883,,,,,,,,,
UntilNoChange,100,Integer,86532,,,,,,,,,
UntilNoChange,100,Integer,59349,,,,,,,,,
UntilNoChange,100,Integer,57056,,,,,,,,,
UntilNoChange,100,Integer,56784,,,,,,,,,
UntilNoChange,100,Integer,56792,,,,,,,,,
UntilNoChange,100,Integer,56851,,,,,,,,,
UntilNoChange,100,Integer,56980,,,,,,,,,
UntilNoChange,100,Integer,56931,,,,,,,,,
UntilNoChange,100,Integer,56917,,,,,,,,,
UntilNoChange,100,Integer,56913,,,,,,,,,
UntilNoChange,100,Integer,56923,,,,,,,,,
UntilNoChange,100,Integer,57011,,,,,,,,,
UntilNoChange,100,Integer,56976,,,,,,,,,
UntilNoChange,100,Integer,57124,,,,,,,,,
UntilNoChange,100,Integer,56743,,,,,,,,,
UntilNoChange,100,Integer,56783,,,,,,,,,
UntilNoChange,100,Integer,56791,,,,,,,,,
UntilNoChange,100,Integer,77996,,,,,,,,,
UntilNoChange,100,Integer,59645,,,,,,,,,
UntilNoChange,100,Integer,56910,,,,,,,,,
UntilNoChange,100,Integer,56952,,,,,,,,,
UntilNoChange,100,Integer,56982,,,,,,,,,
UntilNoChange,100,Integer,58012,,,,,,,,,
UntilNoChange,100,Integer,56922,,,,,,,,,
UntilNoChange,100,Integer,61849,,,,,,,,,
UntilNoChange,100,Integer,57204,,,,,,,,,
UntilNoChange,100,Integer,57960,,,,,,,,,
UntilNoChange,100,Integer,57586,,,,,,,,,
UntilNoChange,100,Integer,57717,,,,,,,,,
UntilNoChange,100,Integer,57310,,,,,,,,,
UntilNoChange,100,Integer,57334,,,,,,,,,
