Algorithm,Size,Type,Time (nanoseconds)
UntileNoChange,100,Integer,54993
UntileNoChange,100,Integer,53281
UntileNoChange,100,Integer,52296
UntileNoChange,100,Integer,56889
UntileNoChange,100,Integer,59245
UntileNoChange,100,Integer,53152
UntileNoChange,100,Integer,51287
UntileNoChange,100,Integer,52548
WhileNeeded,100,Integer,295309
WhileNeeded,100,Integer,312354
WhileNeeded,100,Integer,296816
WhileNeeded,100,Integer,301076
WhileNeeded,100,Integer,292308
WhileNeeded,100,Integer,298008
WhileNeeded,100,Integer,307434
WhileNeeded,100,Integer,404498
WhileNeeded,100,Integer,277270
WhileNeeded,100,Integer,359990
WhileNeeded,100,Integer,307324
WhileNeeded,100,Integer,336474
WhileNeeded,100,Integer,305896
WhileNeeded,100,Integer,200226
WhileNeeded,100,Integer,98820
WhileNeeded,100,Integer,79835
WhileNeeded,100,Integer,74328
WhileNeeded,100,Integer,115421
WhileNeeded,100,Integer,92945
WhileNeeded,100,Integer,74607
WhileNeeded,100,Integer,80957
WhileNeeded,100,Integer,73333
WhileNeeded,100,Integer,74379
WhileNeeded,100,Integer,69561
WhileNeeded,100,Integer,67537
WhileNeeded,100,Integer,71706
WhileNeeded,100,Integer,69029
WhileNeeded,100,Integer,71750
WhileNeeded,100,Integer,67905
WhileNeeded,100,Integer,74720
WhileNeeded,100,Integer,71648
WhileNeeded,100,Integer,71200
WhileNeeded,100,Integer,79087
WhileNeeded,100,Integer,70341
WhileNeeded,100,Integer,74918
WhileNeeded,100,Integer,73803
WhileNeeded,100,Integer,68719
WhileNeeded,100,Integer,78642
WhileNeeded,100,Integer,80483
WhileNeeded,100,Integer,73624
WhileNeeded,100,Integer,70795
WhileNeeded,100,Integer,70902
WhileNeeded,100,Integer,67938
WhileNeeded,100,Integer,72171
WhileNeeded,100,Integer,72806
WhileNeeded,100,Integer,73758
WhileNeeded,100,Integer,66819
WhileNeeded,100,Integer,70055
WhileNeeded,100,Integer,72486
WhileNeeded,100,Integer,73401
WhileNeeded,100,Integer,71192
WhileNeeded,100,Integer,68333
WhileNeeded,100,Integer,69420
WhileNeeded,100,Integer,73559
WhileNeeded,100,Integer,71723
WhileNeeded,100,Integer,67515
WhileNeeded,100,Integer,73006
WhileNeeded,100,Integer,72000
WhileNeeded,100,Integer,74437
WhileNeeded,100,Integer,68638
WhileNeeded,100,Integer,73584
WhileNeeded,100,Integer,74510
WhileNeeded,100,Integer,72931
WhileNeeded,100,Integer,89041
